date,channel,campaign,spend,imps,clicks,conversions,add_to_cart,revenue
2024-01-02,SEARCH_GENERIC,SEA_01,94.38,30207,822,17,25,1131.89
2024-01-02,SEARCH_GENERIC,SEA_02,37.86,12185,305,1,1,70.03
2024-01-02,SEARCH_GENERIC,SEA_03,61.95,21182,756,9,10,634.6
2024-01-02,SEARCH_GENERIC,SEA_04,77.38,28315,901,18,22,1176.33
2024-01-02,SEARCH_GENERIC,SEA_05,109.45,39129,1494,19,25,1255.3
2024-01-02,SEARCH_GENERIC,SEA_06,54.04,16112,425,2,2,139.55
2024-01-02,SEARCH_GENERIC,SEA_07,34.07,12252,308,7,10,494.48
2024-01-02,SEARCH_GENERIC,SEA_08,18.09,6280,162,2,3,134.12
2024-01-02,SHOPPING,SHO_01,85.77,33780,1376,17,25,1241.28
2024-01-02,SHOPPING,SHO_02,9.6,4008,263,4,5,276.39
2024-01-02,SHOPPING,SHO_03,27.9,11908,375,11,14,764.16
2024-01-02,SHOPPING,SHO_04,340.64,146958,6302,128,172,8332.63
2024-01-02,SHOPPING,SHO_05,139.53,55777,2610,44,53,3050.75
2024-01-02,SHOPPING,SHO_06,20.09,8709,257,2,3,128.84
2024-01-02,SHOPPING,SHO_07,238.16,90213,4818,109,152,7324.34
2024-01-02,SHOPPING,SHO_08,34.67,15001,501,13,16,839.11
2024-01-02,DISPLAY,DIS_01,111.55,22548,106,1,1,68.48
2024-01-02,DISPLAY,DIS_02,37.86,8138,36,1,1,70.23
2024-01-02,DISPLAY,DIS_03,55.35,10912,67,0,0,0.0
2024-01-02,DISPLAY,DIS_04,48.34,9848,48,0,0,0.0
2024-01-02,DISPLAY,DIS_05,42.56,8642,44,0,0,0.0
2024-01-02,DISPLAY,DIS_06,39.54,8126,27,0,0,0.0
2024-01-02,DISPLAY,DIS_07,28.45,5644,45,0,0,0.0
2024-01-02,DISPLAY,DIS_08,16.66,3424,32,0,0,0.0
2024-01-02,SOCIAL,SOC_01,15.16,3543,47,0,0,0.0
2024-01-02,SOCIAL,SOC_02,82.97,20747,234,0,0,0.0
2024-01-02,SOCIAL,SOC_03,42.2,9109,93,2,2,134.75
2024-01-02,SOCIAL,SOC_04,29.02,7325,85,0,0,0.0
2024-01-02,SOCIAL,SOC_05,40.14,9856,109,0,0,0.0
2024-01-02,SOCIAL,SOC_06,219.42,51601,409,2,2,133.11
2024-01-02,SOCIAL,SOC_07,88.21,21697,328,7,8,476.32
2024-01-02,SOCIAL,SOC_08,2.79,687,9,0,0,0.0
2024-01-03,SEARCH_BRAND,SEA_01,75.61,37063,1721,43,56,2946.76
2024-01-03,SEARCH_BRAND,SEA_02,78.14,36552,1865,50,68,3522.4
2024-01-03,SEARCH_BRAND,SEA_03,52.09,23361,1623,61,70,4185.4
2024-01-03,SEARCH_BRAND,SEA_04,109.81,55382,3326,103,129,6897.55
2024-01-03,SEARCH_BRAND,SEA_05,99.86,52200,3092,105,127,7258.82
2024-01-03,SEARCH_BRAND,SEA_06,86.07,39445,1541,43,64,2958.6
2024-01-03,SEARCH_BRAND,SEA_07,49.91,27772,2068,79,108,5255.91
2024-01-03,SEARCH_BRAND,SEA_08,228.67,114113,9412,374,448,24332.2
2024-01-03,SEARCH_GENERIC,SEA_01,113.78,35798,1325,14,20,992.47
2024-01-03,SEARCH_GENERIC,SEA_02,96.61,31280,966,13,16,865.99
2024-01-03,SEARCH_GENERIC,SEA_03,102.49,32799,1160,10,14,683.88
2024-01-03,SEARCH_GENERIC,SEA_04,95.96,31217,804,15,21,990.6
2024-01-03,SEARCH_GENERIC,SEA_05,28.38,10375,383,7,9,474.38
2024-01-03,SEARCH_GENERIC,SEA_06,45.27,15771,543,12,18,820.26
2024-01-03,SEARCH_GENERIC,SEA_07,84.12,30717,1217,16,20,1051.88
2024-01-03,SEARCH_GENERIC,SEA_08,60.45,20453,605,4,5,275.36
2024-01-03,SHOPPING,SHO_01,86.15,38181,1362,22,26,1488.59
2024-01-03,SHOPPING,SHO_02,331.31,122318,5726,151,225,10277.05
2024-01-03,SHOPPING,SHO_03,103.8,43502,1642,50,63,3548.7
2024-01-03,SHOPPING,SHO_04,152.42,59251,1896,56,77,3904.06
2024-01-03,SHOPPING,SHO_05,44.87,19191,642,4,6,274.98
2024-01-03,SHOPPING,SHO_06,205.27,78013,5408,150,197,10257.45
2024-01-03,SHOPPING,SHO_07,72.26,28151,1151,27,31,1936.41
2024-01-03,SHOPPING,SHO_08,257.64,106076,7323,167,225,11120.26
2024-01-03,DISPLAY,DIS_01,78.35,16081,126,2,2,143.07
2024-01-03,DISPLAY,DIS_02,31.17,6059,36,0,0,0.0
2024-01-03,DISPLAY,DIS_03,72.29,15017,91,0,0,0.0
2024-01-03,DISPLAY,DIS_04,39.25,7273,31,0,0,0.0
2024-01-03,DISPLAY,DIS_05,66.65,13753,95,0,0,0.0
2024-01-03,DISPLAY,DIS_06,63.98,12747,58,1,1,67.04
2024-01-03,DISPLAY,DIS_07,46.03,10190,71,1,1,69.55
2024-01-03,DISPLAY,DIS_08,133.46,26387,116,2,2,138.62
2024-01-03,SOCIAL,SOC_01,81.32,21758,282,3,4,206.99
2024-01-03,SOCIAL,SOC_02,63.81,17215,175,5,7,361.43
2024-01-03,SOCIAL,SOC_03,43.73,10381,100,1,1,65.39
2024-01-03,SOCIAL,SOC_04,89.64,23010,330,4,6,261.56
2024-01-03,SOCIAL,SOC_05,71.5,16877,226,5,7,337.76
2024-01-03,SOCIAL,SOC_06,49.0,12644,115,1,1,65.39
2024-01-03,SOCIAL,SOC_07,85.89,21150,258,3,4,219.21
2024-01-03,SOCIAL,SOC_08,82.17,20768,267,4,5,266.31
2024-01-04,SEARCH_BRAND,SEA_01,252.98,138482,7602,183,244,12769.6
2024-01-04,SEARCH_BRAND,SEA_02,55.46,27979,2093,67,75,4824.6
2024-01-04,SEARCH_BRAND,SEA_03,69.47,32888,2019,45,56,2980.47
2024-01-04,SEARCH_BRAND,SEA_04,57.05,27786,1996,69,86,4738.6
2024-01-04,SEARCH_BRAND,SEA_05,92.66,45671,2569,59,67,4184.88
2024-01-04,SEARCH_BRAND,SEA_06,125.63,63366,5471,157,208,11615.04
2024-01-04,SEARCH_BRAND,SEA_07,64.93,33790,2185,44,61,2997.62
2024-01-04,SEARCH_BRAND,SEA_08,22.7,11042,812,32,44,2173.39
2024-01-04,SEARCH_GENERIC,SEA_01,238.92,81268,1797,28,34,1910.13
2024-01-04,SEARCH_GENERIC,SEA_02,64.88,21327,1240,19,28,1244.88
2024-01-04,SEARCH_GENERIC,SEA_03,39.5,12880,675,6,7,409.09
2024-01-04,SEARCH_GENERIC,SEA_04,68.4,23293,740,14,17,910.18
2024-01-04,SEARCH_GENERIC,SEA_05,116.37,37724,1220,24,31,1644.01
2024-01-04,SEARCH_GENERIC,SEA_06,74.0,22855,506,3,4,205.15
2024-01-04,SEARCH_GENERIC,SEA_07,61.39,20230,637,7,9,464.09
2024-01-04,SEARCH_GENERIC,SEA_08,148.1,43616,1525,28,32,1994.3
2024-01-04,SHOPPING,SHO_01,43.95,16887,512,12,13,847.32
2024-01-04,SHOPPING,SHO_02,49.04,18266,684,12,16,852.7
2024-01-04,SHOPPING,SHO_03,37.46,15409,454,8,10,533.73
2024-01-04,SHOPPING,SHO_04,120.94,51014,2169,31,42,2125.81
2024-01-04,SHOPPING,SHO_05,73.9,30667,1342,27,40,1956.69
2024-01-04,SHOPPING,SHO_06,156.36,61311,2998,78,112,4931.5
2024-01-04,SHOPPING,SHO_07,123.48,47831,1615,34,39,2297.67
2024-01-04,SHOPPING,SHO_08,42.31,17727,588,10,14,686.19
2024-01-04,DISPLAY,DIS_01,102.39,18384,77,0,0,0.0
2024-01-04,DISPLAY,DIS_02,148.44,31993,218,2,3,141.95
2024-01-04,DISPLAY,DIS_03,18.17,3604,11,0,0,0.0
2024-01-04,DISPLAY,DIS_04,67.99,14480,53,1,1,69.56
2024-01-04,DISPLAY,DIS_05,154.45,28877,156,1,1,70.33
2024-01-04,DISPLAY,DIS_06,65.07,12489,65,0,0,0.0
2024-01-04,DISPLAY,DIS_07,43.51,8043,39,0,0,0.0
2024-01-04,DISPLAY,DIS_08,77.87,15151,107,0,0,0.0
2024-01-04,SOCIAL,SOC_01,121.3,29963,218,2,3,131.26
2024-01-04,SOCIAL,SOC_02,26.84,6596,60,1,1,66.87
2024-01-04,SOCIAL,SOC_03,48.66,11731,134,1,1,66.61
2024-01-04,SOCIAL,SOC_04,51.14,12954,144,0,0,0.0
2024-01-04,SOCIAL,SOC_05,149.0,39733,404,1,1,70.65
2024-01-04,SOCIAL,SOC_06,108.65,26355,302,4,5,270.95
2024-01-04,SOCIAL,SOC_07,72.85,16948,156,2,2,138.64
2024-01-04,SOCIAL,SOC_08,101.13,28581,287,2,3,140.96
2024-01-05,SEARCH_BRAND,SEA_01,142.93,69525,5115,117,135,7968.03
2024-01-05,SEARCH_BRAND,SEA_02,99.48,50568,2693,91,121,6333.66
2024-01-05,SEARCH_BRAND,SEA_03,104.02,51960,2909,87,97,6090.5
2024-01-05,SEARCH_BRAND,SEA_04,40.51,20962,1327,45,52,3039.78
2024-01-05,SEARCH_BRAND,SEA_05,62.88,32924,1624,56,65,3770.17
2024-01-05,SEARCH_BRAND,SEA_06,181.06,97213,7054,178,223,11792.05
2024-01-05,SEARCH_BRAND,SEA_07,118.44,53419,3497,98,118,6442.15
2024-01-05,SEARCH_BRAND,SEA_08,51.93,25955,1276,51,56,3457.02
2024-01-05,SEARCH_GENERIC,SEA_01,116.49,41230,1042,10,12,689.28
2024-01-05,SEARCH_GENERIC,SEA_02,33.36,11378,305,2,2,133.17
2024-01-05,SEARCH_GENERIC,SEA_03,110.85,35748,750,17,19,1157.2
2024-01-05,SEARCH_GENERIC,SEA_04,97.68,31465,1448,34,46,2263.41
2024-01-05,SEARCH_GENERIC,SEA_05,134.24,49086,1385,19,23,1282.97
2024-01-05,SEARCH_GENERIC,SEA_06,81.75,27241,1072,15,19,1023.89
2024-01-05,SEARCH_GENERIC,SEA_07,104.86,33002,1150,21,28,1350.74
2024-01-05,SEARCH_GENERIC,SEA_08,71.58,24944,1075,19,26,1291.61
2024-01-05,SHOPPING,SHO_01,91.9,36249,1822,32,44,2099.63
2024-01-05,SHOPPING,SHO_02,86.71,30561,1456,35,40,2348.7
2024-01-05,SHOPPING,SHO_03,59.26,25484,1261,23,26,1561.11
2024-01-05,SHOPPING,SHO_04,38.13,14868,499,11,14,751.76
2024-01-05,SHOPPING,SHO_05,48.06,17964,622,18,20,1226.96
2024-01-05,SHOPPING,SHO_06,164.38,67930,2560,64,77,4492.64
2024-01-05,SHOPPING,SHO_07,203.36,72771,4998,110,131,7098.73
2024-01-05,SHOPPING,SHO_08,197.19,77334,4337,56,77,3798.35
2024-01-05,DISPLAY,DIS_01,229.65,44364,206,1,1,67.99
2024-01-05,DISPLAY,DIS_02,541.05,112410,507,4,5,262.29
2024-01-05,DISPLAY,DIS_03,40.02,7614,63,0,0,0.0
2024-01-05,DISPLAY,DIS_04,32.27,6433,27,0,0,0.0
2024-01-05,DISPLAY,DIS_05,58.53,11757,41,1,1,69.48
2024-01-05,DISPLAY,DIS_06,71.89,15285,92,0,0,0.0
2024-01-05,DISPLAY,DIS_07,35.32,7254,41,0,0,0.0
2024-01-05,DISPLAY,DIS_08,35.25,7010,49,0,0,0.0
2024-01-05,SOCIAL,SOC_01,34.35,8341,91,1,1,67.2
2024-01-05,SOCIAL,SOC_02,32.61,8524,98,0,0,0.0
2024-01-05,SOCIAL,SOC_03,136.85,34505,359,2,2,135.82
2024-01-05,SOCIAL,SOC_04,31.17,7019,76,2,3,139.34
2024-01-05,SOCIAL,SOC_05,72.39,18679,157,2,3,128.61
2024-01-05,SOCIAL,SOC_06,10.31,2460,20,0,0,0.0
2024-01-05,SOCIAL,SOC_07,121.99,31272,477,3,4,207.53
2024-01-05,SOCIAL,SOC_08,85.69,21578,280,4,5,264.32
2024-01-06,SEARCH_BRAND,SEA_01,57.11,26646,1575,58,82,4083.42
2024-01-06,SEARCH_BRAND,SEA_02,266.06,135639,6318,166,195,11481.76
2024-01-06,SEARCH_BRAND,SEA_03,17.95,9302,328,4,5,280.79
2024-01-06,SEARCH_BRAND,SEA_04,136.05,68926,3885,129,190,8278.66
2024-01-06,SEARCH_BRAND,SEA_05,136.42,62973,2943,95,107,6920.14
2024-01-06,SEARCH_BRAND,SEA_06,127.08,65568,3954,123,142,8247.13
2024-01-06,SEARCH_BRAND,SEA_07,33.57,15955,749,25,32,1654.44
2024-01-06,SEARCH_BRAND,SEA_08,139.1,70643,4507,104,141,6917.46
2024-01-06,SEARCH_GENERIC,SEA_01,191.97,61091,1831,18,27,1249.76
2024-01-06,SEARCH_GENERIC,SEA_02,100.08,32461,963,17,21,1134.39
2024-01-06,SEARCH_GENERIC,SEA_03,80.81,25850,554,14,18,1020.07
2024-01-06,SEARCH_GENERIC,SEA_04,49.3,16502,449,10,11,698.22
2024-01-06,SEARCH_GENERIC,SEA_05,83.9,28141,686,18,23,1243.44
2024-01-06,SEARCH_GENERIC,SEA_06,175.14,60372,2669,31,38,2139.86
2024-01-06,SEARCH_GENERIC,SEA_07,184.95,62574,1440,23,32,1576.68
2024-01-06,SEARCH_GENERIC,SEA_08,52.45,15928,435,13,16,865.26
2024-01-06,SHOPPING,SHO_01,101.65,39019,2183,39,51,2626.74
2024-01-06,SHOPPING,SHO_02,83.04,31853,1345,33,38,2197.29
2024-01-06,SHOPPING,SHO_03,140.72,55564,2463,52,59,3517.94
2024-01-06,SHOPPING,SHO_04,113.32,45134,2047,39,57,2682.97
2024-01-06,SHOPPING,SHO_05,116.2,43556,1393,23,29,1591.45
2024-01-06,SHOPPING,SHO_06,133.18,52196,2318,49,59,3206.61
2024-01-06,SHOPPING,SHO_07,72.21,29439,1004,18,27,1227.98
2024-01-06,SHOPPING,SHO_08,353.7,140312,4371,76,97,5021.35
2024-01-06,DISPLAY,DIS_01,120.76,22621,139,2,3,134.21
2024-01-06,DISPLAY,DIS_02,41.16,8292,54,0,0,0.0
2024-01-06,DISPLAY,DIS_03,30.31,6069,52,0,0,0.0
2024-01-06,DISPLAY,DIS_04,69.96,13179,95,1,1,73.32
2024-01-06,DISPLAY,DIS_05,14.03,3076,8,0,0,0.0
2024-01-06,DISPLAY,DIS_06,89.41,17815,106,2,3,133.41
2024-01-06,DISPLAY,DIS_07,23.47,4549,27,0,0,0.0
2024-01-06,DISPLAY,DIS_08,8.91,1689,8,0,0,0.0
2024-01-06,SOCIAL,SOC_01,192.46,46228,447,7,9,473.9
2024-01-06,SOCIAL,SOC_02,84.2,22039,242,3,4,208.01
2024-01-06,SOCIAL,SOC_03,71.71,16242,140,0,0,0.0
2024-01-06,SOCIAL,SOC_04,39.9,10024,149,2,3,140.16
2024-01-06,SOCIAL,SOC_05,44.94,11021,185,1,1,70.5
2024-01-06,SOCIAL,SOC_06,29.02,7162,79,1,1,69.41
2024-01-06,SOCIAL,SOC_07,54.81,15184,201,1,1,66.31
2024-01-06,SOCIAL,SOC_08,20.33,5156,61,0,0,0.0
2024-01-07,SEARCH_BRAND,SEA_01,393.87,197413,12561,325,478,23202.81
2024-01-07,SEARCH_BRAND,SEA_02,63.72,30758,1379,48,61,3292.04
2024-01-07,SEARCH_BRAND,SEA_03,42.58,20693,1191,35,51,2418.52
2024-01-07,SEARCH_BRAND,SEA_04,141.67,71796,7112,185,210,12831.3
2024-01-07,SEARCH_BRAND,SEA_05,25.3,13566,718,24,31,1642.06
2024-01-07,SEARCH_BRAND,SEA_06,96.45,50754,2818,79,112,5378.01
2024-01-07,SEARCH_BRAND,SEA_07,77.82,39101,2423,65,81,4395.72
2024-01-07,SEARCH_BRAND,SEA_08,216.78,104830,7514,203,264,13677.98
2024-01-07,SEARCH_GENERIC,SEA_01,84.26,26444,619,6,8,412.57
2024-01-07,SEARCH_GENERIC,SEA_02,129.69,41624,1789,32,44,2073.58
2024-01-07,SEARCH_GENERIC,SEA_03,71.87,25313,601,4,5,263.09
2024-01-07,SEARCH_GENERIC,SEA_04,61.17,20797,557,14,16,939.22
2024-01-07,SEARCH_GENERIC,SEA_05,78.72,25789,654,13,17,884.34
2024-01-07,SEARCH_GENERIC,SEA_06,125.4,42642,1288,30,39,2048.63
2024-01-07,SEARCH_GENERIC,SEA_07,25.74,8466,241,3,4,196.71
2024-01-07,SEARCH_GENERIC,SEA_08,6.17,2128,51,0,0,0.0
2024-01-07,SHOPPING,SHO_01,69.73,27702,1022,19,24,1271.77
2024-01-07,SHOPPING,SHO_02,52.37,20343,844,18,21,1212.12
2024-01-07,SHOPPING,SHO_03,108.18,49753,2853,60,77,4373.71
2024-01-07,SHOPPING,SHO_04,117.03,46351,1848,50,57,3408.43
2024-01-07,SHOPPING,SHO_05,249.89,101457,3292,91,102,6079.47
2024-01-07,SHOPPING,SHO_06,124.51,47635,1937,45,53,3019.5
2024-01-07,SHOPPING,SHO_07,127.3,49078,2269,62,78,4350.24
2024-01-07,SHOPPING,SHO_08,113.05,44239,1562,38,47,2537.21
2024-01-07,DISPLAY,DIS_01,54.02,10654,57,0,0,0.0
2024-01-07,DISPLAY,DIS_02,60.8,11459,81,0,0,0.0
2024-01-07,DISPLAY,DIS_03,44.95,8728,64,1,1,68.83
2024-01-07,DISPLAY,DIS_04,119.6,24283,126,0,0,0.0
2024-01-07,DISPLAY,DIS_05,30.75,5776,26,0,0,0.0
2024-01-07,DISPLAY,DIS_06,35.66,6625,55,0,0,0.0
2024-01-07,DISPLAY,DIS_07,92.6,19026,75,1,1,68.66
2024-01-07,DISPLAY,DIS_08,71.29,13997,119,2,3,132.12
2024-01-07,SOCIAL,SOC_01,117.48,27877,217,3,4,211.67
2024-01-07,SOCIAL,SOC_02,13.96,3603,27,0,0,0.0
2024-01-07,SOCIAL,SOC_03,54.58,14340,178,0,0,0.0
2024-01-07,SOCIAL,SOC_04,14.57,3573,23,2,3,144.49
2024-01-07,SOCIAL,SOC_05,78.01,20642,219,2,3,138.29
2024-01-07,SOCIAL,SOC_06,56.88,15070,122,1,1,68.2
2024-01-07,SOCIAL,SOC_07,173.55,46091,583,5,6,342.02
2024-01-07,SOCIAL,SOC_08,58.12,14698,150,1,1,71.3
2024-01-08,SEARCH_BRAND,SEA_01,25.58,12617,535,16,22,1089.96
2024-01-08,SEARCH_BRAND,SEA_02,60.79,28535,1555,43,51,3009.65
2024-01-08,SEARCH_BRAND,SEA_03,193.44,98047,7717,197,262,14058.47
2024-01-08,SEARCH_BRAND,SEA_04,93.66,46679,2131,41,49,2745.3
2024-01-08,SEARCH_BRAND,SEA_05,332.93,155641,10190,297,398,18972.13
2024-01-08,SEARCH_BRAND,SEA_06,45.83,21608,1506,49,72,3162.62
2024-01-08,SEARCH_BRAND,SEA_07,139.0,69581,3402,90,100,6050.85
2024-01-08,SEARCH_BRAND,SEA_08,82.84,41712,3036,154,208,10748.19
2024-01-08,SEARCH_GENERIC,SEA_01,83.1,29730,970,10,11,713.0
2024-01-08,SEARCH_GENERIC,SEA_02,76.99,26604,682,15,19,985.65
2024-01-08,SEARCH_GENERIC,SEA_03,17.33,5606,156,4,4,272.04
2024-01-08,SEARCH_GENERIC,SEA_04,120.08,36879,857,15,18,960.3
2024-01-08,SEARCH_GENERIC,SEA_05,228.51,73395,2535,38,53,2654.07
2024-01-08,SEARCH_GENERIC,SEA_06,20.57,7210,187,4,5,274.61
2024-01-08,SEARCH_GENERIC,SEA_07,80.88,24729,900,10,12,696.2
2024-01-08,SEARCH_GENERIC,SEA_08,35.78,11870,461,4,5,272.71
2024-01-08,SHOPPING,SHO_01,18.06,7378,305,7,8,477.32
2024-01-08,SHOPPING,SHO_02,256.2,108555,4551,71,92,4744.66
2024-01-08,SHOPPING,SHO_03,147.66,60175,2548,67,99,4900.21
2024-01-08,SHOPPING,SHO_04,87.05,33307,1192,40,58,2673.41
2024-01-08,SHOPPING,SHO_05,118.9,50646,1760,28,41,1926.77
2024-01-08,SHOPPING,SHO_06,68.66,25968,1196,29,41,1968.65
2024-01-08,SHOPPING,SHO_07,68.4,27167,1154,29,38,2089.55
2024-01-08,SHOPPING,SHO_08,136.35,53984,2595,58,74,4008.49
2024-01-08,DISPLAY,DIS_01,59.07,12413,74,0,0,0.0
2024-01-08,DISPLAY,DIS_02,91.83,19528,129,1,1,68.37
2024-01-08,DISPLAY,DIS_03,85.8,15373,81,1,1,68.59
2024-01-08,DISPLAY,DIS_04,63.53,12490,73,0,0,0.0
2024-01-08,DISPLAY,DIS_05,113.49,21125,132,0,0,0.0
2024-01-08,DISPLAY,DIS_06,33.14,6570,41,0,0,0.0
2024-01-08,DISPLAY,DIS_07,15.62,2964,15,0,0,0.0
2024-01-08,DISPLAY,DIS_08,170.57,32218,134,0,0,0.0
2024-01-08,SOCIAL,SOC_01,50.93,12382,140,2,3,141.63
2024-01-08,SOCIAL,SOC_02,84.91,19331,164,2,3,135.1
2024-01-08,SOCIAL,SOC_03,90.58,26173,331,5,7,341.01
2024-01-08,SOCIAL,SOC_04,68.33,18841,258,5,6,340.43
2024-01-08,SOCIAL,SOC_05,88.49,21151,256,3,4,205.67
2024-01-08,SOCIAL,SOC_06,143.32,35563,491,7,9,456.14
2024-01-08,SOCIAL,SOC_07,104.56,23310,317,3,4,207.36
2024-01-08,SOCIAL,SOC_08,38.62,9533,124,2,3,131.04
2024-01-09,SEARCH_BRAND,SEA_01,106.5,54195,2518,81,104,5477.58
2024-01-09,SEARCH_BRAND,SEA_02,54.25,28012,1386,43,48,2956.14
2024-01-09,SEARCH_BRAND,SEA_03,21.0,9881,587,18,23,1320.8
2024-01-09,SEARCH_BRAND,SEA_04,131.07,70624,4153,110,127,7797.47
2024-01-09,SEARCH_BRAND,SEA_05,90.98,46444,2659,61,71,3878.34
2024-01-09,SEARCH_BRAND,SEA_06,29.64,15804,843,20,27,1379.38
2024-01-09,SEARCH_BRAND,SEA_07,83.32,38248,2219,70,98,4711.4
2024-01-09,SEARCH_BRAND,SEA_08,204.65,107222,6084,196,277,14155.71
2024-01-09,SEARCH_GENERIC,SEA_01,142.72,44809,1603,22,29,1434.92
2024-01-09,SEARCH_GENERIC,SEA_02,47.56,16243,463,15,21,1017.62
2024-01-09,SEARCH_GENERIC,SEA_03,185.11,64107,2283,17,23,1208.51
2024-01-09,SEARCH_GENERIC,SEA_04,103.81,37103,919,8,12,553.87
2024-01-09,SEARCH_GENERIC,SEA_05,117.53,36671,1027,11,15,770.71
2024-01-09,SEARCH_GENERIC,SEA_06,18.49,6061,173,2,3,126.51
2024-01-09,SEARCH_GENERIC,SEA_07,13.97,4678,89,1,1,65.77
2024-01-09,SEARCH_GENERIC,SEA_08,53.79,17978,384,3,4,206.44
2024-01-09,SHOPPING,SHO_01,124.15,52231,1935,33,39,2269.74
2024-01-09,SHOPPING,SHO_02,112.82,42734,2028,53,59,3511.1
2024-01-09,SHOPPING,SHO_03,95.26,39409,1829,40,50,2611.68
2024-01-09,SHOPPING,SHO_04,21.77,8385,453,15,18,1002.02
2024-01-09,SHOPPING,SHO_05,21.75,9908,446,11,14,764.46
2024-01-09,SHOPPING,SHO_06,52.03,19484,525,8,10,541.45
2024-01-09,SHOPPING,SHO_07,137.88,55286,1906,28,38,1784.42
2024-01-09,SHOPPING,SHO_08,11.83,4740,174,6,8,419.48
2024-01-09,DISPLAY,DIS_01,80.69,15752,76,1,1,64.94
2024-01-09,DISPLAY,DIS_02,11.71,2359,12,0,0,0.0
2024-01-09,DISPLAY,DIS_03,75.41,14211,101,2,2,136.01
2024-01-09,DISPLAY,DIS_04,78.87,16900,128,0,0,0.0
2024-01-09,DISPLAY,DIS_05,62.3,12167,75,0,0,0.0
2024-01-09,DISPLAY,DIS_06,96.58,20409,109,1,1,70.11
2024-01-09,DISPLAY,DIS_07,14.2,3042,12,0,0,0.0
